artist,song,duration [min],release year,key,tempo [bpm],genre
Britney Spears,Oops!...I Did It Again,3.5193333333333334,2000,C#,95.053,pop
blink-182,All The Small Things,2.7844333333333333,1999,C,148.726,rock
Faith Hill,Breathe,4.175766666666667,1999,G,136.859,pop
Bon Jovi,It's My Life,3.74155,2000,C,119.992,rock
*NSYNC,Bye Bye Bye,3.3426666666666667,2000,G#,172.656,pop
Sisqo,Thong Song,4.228883333333333,1999,D,121.549,hip hop
Eminem,The Real Slim Shady,4.736666666666666,2000,F,104.504,hip hop
Robbie Williams,Rock DJ,4.309333333333333,2000,G,103.035,pop
Destiny's Child,Say My Name,4.522216666666667,1999,F,138.009,pop
Modjo,Lady - Hear Me Tonight,5.1192166666666665,2001,F#,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,3.9793166666666666,2011,G,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,4.48105,1999,G,129.962,pop
Bomfunk MC's,Freestyler,5.10555,2000,B,163.826,pop
Sting,Desert Rose,4.766,1999,C,111.989,rock
Melanie C,Never Be The Same Again,4.903333333333333,1999,D#,160.067,pop
Aaliyah,Try Again,4.733333333333333,2002,F#,93.02,hip hop
Anastacia,I'm Outta Love - Radio Edit,4.09,1999,A#,119.41,pop
Alice Deejay,Better Off Alone,3.581383333333333,2000,G#,136.953,pop
Gigi D'Agostino,The Riddle,4.7571,1999,F#,127.002,pop
Dr. Dre,The Next Episode,2.6917666666666666,1999,A#,95.295,hip hop
Linkin Park,In the End,3.6146666666666665,2000,D#,105.143,rock
Tom Jones,Sexbomb,3.53155,1999,G#,122.979,rock
Sonique,It Feels So Good,4.014433333333334,2000,F,135.012,pop
M.O.P.,Cold as Ice,4.074433333333333,2000,B,85.565,hip hop
Melanie C,I Turn To You,5.86955,1999,C#,135.205,pop
Limp Bizkit,Take A Look Around,5.350666666666666,2000,B,101.968,metal
Darude,Sandstorm,3.7582166666666668,2001,B,136.065,pop
Da Brat,What'chu Like (feat. Tyrese),3.686,2000,A#,99.974,hip hop
Moloko,The Time Is Now,5.304666666666667,2000,A,127.962,pop
Chicane,Don't Give Up,3.5131,2016,A#,132.017,Dance/Electronic
DMX,Party Up,4.4811,1999,B,201.936,hip hop
Debelah Morgan,Dance with Me,3.668433333333333,2000,G,115.005,pop
Madonna,Music,3.7662166666666668,2000,G,119.854,pop
Ruff Endz,No More,4.042666666666666,2000,A#,97.004,R&B
Britney Spears,Born to Make You Happy,4.058883333333333,1999,B,84.11,pop
Montell Jordan,Get It On Tonite,4.604433333333334,1999,A#,99.008,hip hop
Kylie Minogue,Spinning Around,3.4644333333333335,2000,F#,120.043,pop
JAY-Z,Big Pimpin',4.717766666666667,1999,B,138.083,hip hop
LeAnn Rimes,I Need You,3.830433333333333,2001,G,144.705,pop
Avant,Separated,4.26,2000,C,108.241,pop
Enrique Iglesias,Be With You,3.656,1999,C#,121.996,pop
Toni Braxton,He Wasn't Man Enough,4.36555,2000,B,88.009,pop
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2.93155,2000,G#,72.016,hip hop
Dr. Dre,Forgot About Dre,3.7048833333333335,1999,G#,133.974,hip hop
Missy Elliott,Hot Boyz,3.5911,1998,C#,81.125,hip hop
Backstreet Boys,Show Me the Meaning of Being Lonely,3.916,1999,F#,167.998,pop
Samantha Mumba,Gotta Tell You,3.3657666666666666,2018,C,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),3.9484333333333335,2000,C#,98.0,pop
