artist,song,duration [min],release year,key_full,tempo [bpm],genre_primary,genre_raw
Britney Spears,Oops!...I Did It Again,3.5193333333333334,2000,C# minor,95.053,pop,pop
blink-182,All The Small Things,2.7844333333333333,1999,C major,148.726,rock,"rock, pop"
Faith Hill,Breathe,4.175766666666667,1999,G major,136.859,pop,"pop, country"
Bon Jovi,It's My Life,3.74155,2000,C minor,119.992,rock,"rock, metal"
*NSYNC,Bye Bye Bye,3.3426666666666667,2000,G# minor,172.656,pop,pop
Sisqo,Thong Song,4.228883333333333,1999,D major,121.549,hip hop,"hip hop, pop, R&B"
Eminem,The Real Slim Shady,4.736666666666666,2000,F minor,104.504,hip hop,hip hop
Robbie Williams,Rock DJ,4.309333333333333,2000,G major,103.035,pop,"pop, rock"
Destiny's Child,Say My Name,4.522216666666667,1999,F minor,138.009,pop,"pop, R&B"
Modjo,Lady - Hear Me Tonight,5.1192166666666665,2001,F# major,126.041,dance/electronic,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,3.9793166666666666,2011,G major,139.066,pop,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,4.48105,1999,G major,129.962,pop,pop
Bomfunk MC's,Freestyler,5.10555,2000,B minor,163.826,pop,pop
Sting,Desert Rose,4.766,1999,C minor,111.989,rock,"rock, pop"
Melanie C,Never Be The Same Again,4.903333333333333,1999,D# major,160.067,pop,"pop, Dance/Electronic"
Aaliyah,Try Again,4.733333333333333,2002,F# minor,93.02,hip hop,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,4.09,1999,A# minor,119.41,pop,pop
Alice Deejay,Better Off Alone,3.581383333333333,2000,G# minor,136.953,pop,pop
Gigi D'Agostino,The Riddle,4.7571,1999,F# minor,127.002,pop,pop
Dr. Dre,The Next Episode,2.6917666666666666,1999,A# minor,95.295,hip hop,hip hop
Linkin Park,In the End,3.6146666666666665,2000,D# minor,105.143,rock,"rock, metal"
Tom Jones,Sexbomb,3.53155,1999,G# minor,122.979,rock,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,4.014433333333334,2000,F minor,135.012,pop,pop
M.O.P.,Cold as Ice,4.074433333333333,2000,B minor,85.565,hip hop,hip hop
Melanie C,I Turn To You,5.86955,1999,C# major,135.205,pop,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,5.350666666666666,2000,B major,101.968,metal,metal
Darude,Sandstorm,3.7582166666666668,2001,B minor,136.065,pop,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),3.686,2000,A# minor,99.974,hip hop,"hip hop, pop, R&B"
Moloko,The Time Is Now,5.304666666666667,2000,A minor,127.962,pop,"pop, Dance/Electronic"
Chicane,Don't Give Up,3.5131,2016,A# minor,132.017,dance/electronic,Dance/Electronic
DMX,Party Up,4.4811,1999,B major,201.936,hip hop,"hip hop, pop"
Debelah Morgan,Dance with Me,3.668433333333333,2000,G minor,115.005,pop,"pop, R&B"
Madonna,Music,3.7662166666666668,2000,G major,119.854,pop,pop
Ruff Endz,No More,4.042666666666666,2000,A# minor,97.004,r&b,R&B
Britney Spears,Born to Make You Happy,4.058883333333333,1999,B minor,84.11,pop,pop
Montell Jordan,Get It On Tonite,4.604433333333334,1999,A# minor,99.008,hip hop,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,3.4644333333333335,2000,F# minor,120.043,pop,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',4.717766666666667,1999,B minor,138.083,hip hop,hip hop
LeAnn Rimes,I Need You,3.830433333333333,2001,G major,144.705,pop,"pop, country"
Avant,Separated,4.26,2000,C major,108.241,pop,"pop, R&B"
Enrique Iglesias,Be With You,3.656,1999,C# minor,121.996,pop,"pop, latin"
Toni Braxton,He Wasn't Man Enough,4.36555,2000,B minor,88.009,pop,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2.93155,2000,G# major,72.016,hip hop,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,3.7048833333333335,1999,G# major,133.974,hip hop,hip hop
Missy Elliott,Hot Boyz,3.5911,1998,C# major,81.125,hip hop,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,3.916,1999,F# minor,167.998,pop,pop
Samantha Mumba,Gotta Tell You,3.3657666666666666,2018,C minor,109.981,pop,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),3.9484333333333335,2000,C# minor,98.0,pop,"pop, R&B"
Mary Mary,Shackles (Praise You),3.3057666666666665,2000,G major,100.46,r&b,R&B
Next,Wifey,4.0611,2004,G minor,99.581,hip hop,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,4.4171,2001,F minor,99.316,pop,"pop, R&B"
Ricky Martin,She Bangs - English Version,4.6771,2000,C# major,143.866,pop,"pop, latin"
Jagged Edge,He Can't Love U,4.06755,2000,G# minor,126.279,hip hop,"hip hop, pop, R&B"
Sisqo,Incomplete,4.570433333333333,1999,C# minor,119.311,hip hop,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),3.7977666666666665,2000,E minor,98.631,hip hop,hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),4.289333333333333,1999,A# major,129.297,pop,"pop, R&B"
Baha Men,Who Let The Dogs Out,3.3066666666666666,2000,C major,129.221,r&b,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",4.062216666666667,1999,G# minor,103.032,pop,"pop, R&B"
LeAnn Rimes,Can't Fight The Moonlight,3.5917666666666666,2001,F# minor,97.865,pop,"pop, country"
Oasis,Go Let It Out,4.644433333333334,2000,D major,84.192,folk/acoustic,"Folk/Acoustic, rock"
DJ Ötzi,Hey Baby (Radio Mix),3.654,2010,A# major,135.099,pop,"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,4.982666666666667,2000,D minor,97.922,pop,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),3.324666666666667,2011,C# major,117.338,pop,"pop, R&B"
Craig David,Fill Me In,4.286666666666667,2000,G# major,132.493,hip hop,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,4.561766666666666,1999,C# major,127.177,pop,pop
Madonna,American Pie,4.558883333333333,2000,F minor,124.036,pop,pop
Red Hot Chili Peppers,Otherside,4.256216666666667,1999,C major,123.229,rock,rock
Sammie,I Like It,4.184,2000,A major,129.963,hip hop,"hip hop, pop, R&B"
Craig David,7 Days,3.9188833333333335,2000,E minor,83.014,hip hop,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),4.366216666666666,1999,D major,97.911,rock,"rock, blues, latin"
Kandi,Don't Think I'm Not,4.058883333333333,2000,B major,134.007,pop,"pop, R&B"
P!nk,There You Go,3.38,2000,A# minor,107.908,pop,pop
Vengaboys,Shalala Lala,3.5803166666666666,2000,D major,124.017,pop,pop
Ronan Keating,Life Is A Rollercoaster,3.9137666666666666,2000,C major,118.981,pop,"pop, rock"
Madison Avenue,Don't Call Me Baby,3.8023333333333333,1999,D# minor,124.999,dance/electronic,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",3.8366666666666664,1999,C# major,88.997,pop,"pop, R&B"
Céline Dion,That's the Way It Is,4.022883333333334,1999,A major,93.04,pop,pop
3 Doors Down,Kryptonite,3.8988833333333335,2000,B minor,99.009,pop,"pop, rock, metal"
Carl Thomas,I Wish,3.779333333333333,2000,C# major,89.824,pop,"pop, R&B"
Mystikal,Shake Ya Ass,4.282883333333333,2000,G major,98.054,hip hop,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),3.947766666666667,2000,C# major,152.034,rock,"rock, pop, metal"
Donell Jones,Where I Wanna Be,4.2271,1999,F minor,102.053,pop,"pop, R&B"
Savage Garden,Crash and Burn,4.6911,1999,E major,102.03,pop,pop
Westlife,My Love,3.8626666666666667,2000,C major,144.142,pop,pop
All Saints,Pure Shores,4.4791,2000,F# major,100.618,pop,pop
Destiny's Child,"Independent Women, Pt. 1",3.68555,2001,F# minor,97.954,pop,"pop, R&B"
*NSYNC,It's Gonna Be Me,3.184,2000,C minor,165.09,pop,pop
Erykah Badu,Bag Lady,5.814883333333333,2000,F minor,151.181,hip hop,"hip hop, R&B"
Marc Anthony,You Sang To Me,5.7851,1999,A# major,165.98,pop,"pop, latin"
Matchbox Twenty,Bent,4.268883333333333,2000,F# minor,95.468,pop,"pop, rock"
Gabrielle,Rise,3.65155,2001,G# major,144.673,pop,"pop, R&B"
Backstreet Boys,Shape of My Heart,3.8348833333333334,2000,A major,96.102,pop,pop
